190,116,33,190,116,33,190,116,305,181,181,181,181,181,181,181,178,181,181,181,181,178,181,181,181,181,181,181,0,263,291,266,0,2,4,271,271,271,14,15,169,168,168,22,183,187,103,183,187,103,40,46,63,63,79,79,88,95,183,187,103,183,187,103,183,187,103,183,187,103,183,187,103,132,2,137,153,153,153,153,153,153,153,153,161,168,22,183,187,103,183,187,103,183,187,103
191,104,34,191,104,34,124,38,207,291,291,291,266,291,291,291,291,291,291,291,291,266,266,291,291,266,291,315,0,263,291,266,0,4,5,9,9,9,15,14,15,169,168,23,32,123,115,32,123,115,40,46,54,64,70,80,88,95,32,123,115,32,123,115,32,123,115,32,123,115,32,123,115,133,2,137,153,142,153,145,153,142,153,145,161,168,23,32,123,115,32,123,115,32,123,115
192,184,197,192,184,197,125,202,291,266,291,291,291,291,291,291,266,130,291,266,291,291,139,246,246,253,315,257,260,264,291,291,1,5,231,271,271,271,14,15,14,15,169,24,33,190,116,33,190,116,40,47,55,65,71,81,89,95,33,190,116,33,190,116,33,190,116,33,190,116,33,190,116,134,2,137,153,153,153,153,153,153,153,153,161,168,24,33,190,116,33,190,116,33,190,116
108,185,112,108,185,112,293,291,291,291,266,130,266,291,291,291,291,291,291,130,291,291,246,246,139,139,257,260,264,291,291,266,144,231,5,9,9,9,15,14,15,14,163,171,174,26,104,34,124,38,41,48,56,66,72,82,90,96,174,26,104,34,191,104,34,191,104,34,191,104,34,124,38,0,4,138,141,153,153,153,153,145,153,153,161,168,171,174,26,104,34,191,104,34,191,104
109,117,113,109,117,113,126,291,291,315,283,291,291,315,283,291,291,291,266,291,291,291,291,291,291,291,0,263,291,291,291,291,291,144,231,271,271,271,14,15,14,16,20,171,175,177,184,197,125,202,42,49,57,67,73,83,91,97,175,177,184,197,192,184,197,192,184,197,192,184,197,125,202,1,5,231,138,154,154,154,154,154,154,154,162,169,171,175,177,184,197,192,184,197,192,184
110,118,114,110,118,114,127,291,315,316,193,210,215,220,284,283,291,291,291,291,298,245,187,189,301,291,1,258,8,291,291,266,291,291,144,159,159,9,15,14,16,291,21,171,291,237,185,112,293,291,43,50,84,68,74,84,92,98,291,237,185,112,108,185,112,108,185,112,108,185,112,293,291,144,231,5,231,271,271,271,271,150,155,271,14,15,25,291,237,185,112,108,185,112,108,185
178,291,291,291,291,291,291,315,316,261,271,211,216,271,239,284,283,291,291,291,222,32,123,115,302,291,144,231,258,3,3,3,3,3,3,3,10,271,14,16,17,299,21,171,291,238,117,113,126,291,291,291,291,111,75,291,291,291,291,238,117,113,109,117,113,109,117,113,109,117,113,126,291,291,144,231,5,9,159,159,159,151,156,159,163,262,16,291,238,117,113,109,117,113,109,117
178,27,27,27,27,198,315,316,261,14,119,212,217,119,231,239,284,283,291,291,242,33,190,116,305,291,291,144,231,271,271,271,271,271,271,271,14,159,16,291,18,300,21,171,291,290,118,114,127,39,44,99,58,111,75,39,44,99,58,290,118,114,110,118,114,110,118,114,110,118,114,127,291,291,291,144,231,271,143,146,157,157,157,157,164,171,291,291,290,118,114,110,118,114,110,118
178,158,158,158,158,76,316,261,14,265,120,213,218,120,232,231,239,284,291,241,295,34,124,38,207,266,291,266,144,159,159,159,159,159,159,159,16,291,17,299,291,291,21,171,291,291,291,291,291,85,93,51,59,111,75,85,93,51,59,291,37,291,266,291,291,291,291,31,291,130,291,291,37,37,291,291,144,159,231,143,148,148,148,148,165,25,291,291,178,37,37,178,291,291,291,291
178,173,173,283,19,199,306,262,265,209,268,227,227,227,226,232,228,285,291,289,184,197,125,202,37,37,266,291,291,291,291,291,291,291,291,291,291,291,18,300,291,291,21,171,291,291,28,35,291,86,94,52,60,111,75,86,94,52,60,291,179,291,291,253,291,291,291,31,130,266,37,37,37,37,37,291,291,291,144,231,271,271,271,271,14,16,291,179,37,291,291,37,179,291,291,291
107,107,107,193,194,200,306,314,317,227,227,221,227,227,227,225,229,285,291,237,185,112,293,37,37,37,139,139,246,253,266,291,291,266,291,6,11,291,241,295,254,206,21,171,266,291,29,36,291,87,45,53,61,111,75,87,45,53,61,291,37,291,291,291,291,291,291,37,140,160,37,37,37,37,37,291,246,253,291,144,159,159,159,159,16,291,291,178,246,246,246,246,178,291,266,291
271,271,271,271,195,291,306,314,317,227,227,227,227,268,227,225,229,285,291,238,117,113,126,37,37,37,139,139,139,139,266,291,266,291,291,7,12,291,289,184,197,292,21,171,291,253,291,291,291,290,118,114,127,111,75,290,118,114,127,291,179,291,291,291,291,291,291,37,131,135,37,37,130,266,37,291,139,139,291,291,291,291,291,291,291,291,291,179,246,140,160,246,179,291,291,253
182,186,159,159,196,291,306,314,317,227,227,227,227,227,227,225,229,285,291,290,118,114,127,291,291,266,291,266,291,291,291,130,291,291,291,266,291,291,237,185,112,293,21,171,139,246,37,291,291,291,291,291,291,244,76,291,291,291,291,291,37,291,291,291,291,291,291,179,31,31,179,179,139,139,179,179,37,179,179,179,37,179,37,179,179,179,31,179,246,131,135,246,178,291,291,291
197,292,291,291,291,291,307,319,318,214,227,227,268,227,227,225,273,239,284,283,291,291,291,247,8,291,291,291,291,291,266,291,291,291,291,291,253,291,238,117,113,126,21,171,246,246,30,291,291,291,291,291,30,170,77,30,291,291,291,291,30,291,101,106,105,291,291,179,291,291,291,266,140,160,291,266,139,139,179,121,139,152,139,139,152,139,172,179,246,246,246,246,179,291,291,291
112,293,291,291,291,291,308,307,319,318,214,227,227,221,227,226,232,231,239,284,283,291,291,248,249,3,3,8,266,291,291,266,266,291,266,291,291,291,290,118,114,127,21,171,246,253,62,179,179,179,179,179,62,69,78,62,179,179,179,179,62,101,106,106,106,105,291,179,106,291,121,139,131,135,246,139,139,106,37,147,149,152,139,139,152,139,139,179,179,178,178,179,179,106,291,291
183,187,189,301,37,291,291,308,307,319,318,214,227,227,227,227,226,232,231,239,284,291,291,291,250,271,271,258,8,291,266,291,291,291,291,291,291,291,291,291,291,291,21,171,139,139,31,291,37,37,291,37,37,203,198,37,37,291,37,37,31,106,106,106,106,106,291,178,106,291,139,139,139,101,106,140,160,106,37,140,160,152,140,160,152,140,160,176,106,152,152,101,31,106,291,291
32,123,115,302,37,37,291,291,308,307,319,318,214,227,227,227,227,226,232,228,285,291,291,266,251,159,159,231,258,8,291,291,291,291,291,291,291,291,291,291,291,291,21,171,291,266,31,291,37,37,291,37,37,111,75,37,37,291,37,37,31,106,106,106,106,106,106,179,246,139,139,139,139,106,106,131,135,152,179,131,135,152,131,135,152,131,135,291,266,152,152,106,179,180,291,291
33,190,116,305,37,291,291,291,291,308,307,319,318,214,227,227,227,227,225,229,285,291,266,291,291,291,291,144,231,258,3,3,3,3,3,8,291,291,291,266,37,291,21,171,266,291,31,291,37,37,291,37,37,111,75,37,37,291,37,37,31,106,106,106,106,106,106,31,106,140,160,140,160,152,152,152,152,152,179,291,139,139,139,101,152,291,130,266,139,152,152,106,31,105,291,291
34,191,104,254,206,37,291,291,291,266,308,307,319,318,223,321,321,233,279,280,286,291,246,253,291,291,291,291,144,231,271,271,271,271,271,258,8,291,291,37,266,291,21,171,291,291,31,291,37,37,291,37,37,111,75,37,37,291,37,37,31,106,106,180,266,291,291,179,121,131,135,131,135,152,37,291,139,139,37,139,139,139,139,106,152,121,139,140,160,152,152,106,179,106,105,291
197,192,184,197,292,37,37,291,266,291,291,308,307,319,224,322,322,234,280,286,287,291,139,139,291,37,291,291,291,144,159,159,159,159,159,231,258,8,266,291,291,19,10,25,291,291,31,291,37,37,291,37,37,111,75,37,37,291,37,37,31,105,291,291,291,253,291,178,37,37,152,152,152,152,37,291,147,139,37,140,160,140,160,106,152,140,160,131,135,152,152,106,31,106,106,106
112,108,185,112,293,37,266,291,139,246,246,253,308,307,323,323,323,323,286,287,266,291,139,246,291,266,291,291,291,291,291,291,291,291,291,144,231,258,3,3,3,10,14,16,291,291,179,291,291,291,291,291,30,111,75,30,291,291,291,291,179,106,105,291,291,291,291,179,37,30,178,37,30,37,37,140,160,152,179,131,135,131,135,152,152,131,135,152,152,152,152,106,179,106,106,106
113,109,117,113,126,37,291,266,246,246,139,139,291,308,320,320,320,320,287,291,291,266,246,246,266,291,291,291,291,291,291,291,291,291,291,291,144,231,271,271,271,14,16,291,291,291,179,179,179,179,179,179,62,111,75,62,179,179,179,179,179,106,106,291,291,291,291,179,179,62,37,178,62,179,179,131,135,152,152,139,152,152,152,152,152,152,152,152,130,152,152,106,31,106,106,106
114,110,118,114,127,291,291,291,246,253,291,291,291,291,291,291,230,128,291,291,240,291,291,291,291,230,255,259,128,291,291,291,291,291,291,291,291,144,159,159,159,16,291,291,266,291,291,203,198,291,291,291,291,111,75,291,291,203,198,291,176,106,180,291,291,203,27,27,27,27,201,128,291,291,179,152,152,152,179,291,130,130,130,30,166,170,77,166,30,152,152,152,179,106,291,291
178,291,291,291,291,291,291,291,139,139,291,230,219,27,201,255,100,136,201,128,291,291,291,230,219,100,252,252,136,259,128,291,291,203,198,291,291,291,291,291,291,291,291,291,291,253,203,100,136,201,128,291,291,111,75,291,203,100,136,198,291,291,291,291,291,111,252,252,252,252,252,129,259,128,179,179,31,179,179,178,179,31,179,62,167,69,78,167,62,179,31,179,179,180,291,291
178,27,27,27,27,201,128,203,27,27,27,100,252,252,252,102,158,13,252,136,27,27,27,100,252,252,252,252,252,252,136,27,27,100,136,27,27,27,27,27,27,27,27,27,27,27,100,252,252,252,136,27,27,100,136,27,100,252,252,136,27,27,27,27,27,100,252,252,142,252,252,252,252,136,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,178,27,27
178,158,158,158,13,252,129,204,102,158,158,158,158,158,205,208,291,235,236,158,158,158,243,252,252,252,252,102,158,158,158,158,158,158,158,158,13,142,252,252,252,142,252,252,252,102,158,205,236,158,158,158,158,158,158,158,13,252,252,252,252,102,158,158,158,158,13,252,252,252,252,102,158,158,158,158,158,158,158,158,158,13,252,252,102,158,158,158,158,158,158,158,158,178,158,158
178,291,291,291,244,158,158,205,208,291,291,291,291,291,291,291,291,291,291,291,291,291,244,158,158,158,158,76,291,291,291,291,291,291,291,291,244,158,158,158,158,158,158,158,158,76,291,291,291,291,291,291,291,291,291,291,244,158,158,158,158,76,291,291,291,291,244,158,158,158,158,76,291,291,291,291,291,291,291,291,291,244,158,158,76,291,291,291,291,291,291,291,291,178,291,291
245,187,189,245,187,189,301,291,291,291,291,291,291,291,37,37,291,291,37,37,291,298,245,187,189,301,291,291,291,315,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,181,181,181
32,123,115,32,123,115,302,291,291,291,291,291,291,291,291,291,37,291,291,37,291,222,32,123,115,302,291,291,315,316,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
